,webURL,numViolations,id,finalScore,impact,tags,description,help,helpUrl,nodes,html,failureSummary
0,https://calendar.google.com/,3,landmark-one-main,9.0,moderate,"['cat.semantics', 'best-practice']",Ensures the document has a main landmark,Document should have one main landmark,https://dequeuniversity.com/rules/axe/4.8/landmark-one-main?application=playwright,"[{'any': [], 'all': [{'id': 'page-has-main', 'data': None, 'relatedNodes': [], 'impact': 'moderate', 'message': 'Document does not have a main landmark'}], 'none': [], 'impact': 'moderate', 'html': '<html dir=""ltr"" lang=""en"">', 'target': ['html'], 'failureSummary': 'Fix all of the following:\n  Document does not have a main landmark'}]",,
1,https://calendar.google.com/,3,page-has-heading-one,9.0,moderate,"['cat.semantics', 'best-practice']","Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.8/page-has-heading-one?application=playwright,"[{'any': [], 'all': [{'id': 'page-has-heading-one', 'data': None, 'relatedNodes': [], 'impact': 'moderate', 'message': 'Page must have a level-one heading'}], 'none': [], 'impact': 'moderate', 'html': '<html dir=""ltr"" lang=""en"">', 'target': ['html'], 'failureSummary': 'Fix all of the following:\n  Page must have a level-one heading'}]",,
2,https://calendar.google.com/,3,region,9.0,moderate,"['cat.keyboard', 'best-practice']",Ensures all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.8/region?application=playwright,"[{'any': [{'id': 'region', 'data': {'isIframe': False}, 'relatedNodes': [], 'impact': 'moderate', 'message': 'Some page content is not contained by landmarks'}], 'all': [], 'none': [], 'impact': 'moderate', 'html': '<div style=""padding:32px 64px""><img alt=""Google Calendar"" src=""https://fonts.gstatic.com/s/i/productlogos/calendar_2020q4/v13/192px.svg"" style=""border:none""></div>', 'target': ['.root > div:nth-child(1)'], 'failureSummary': 'Fix any of the following:\n  Some page content is not contained by landmarks'}, {'any': [{'id': 'region', 'data': {'isIframe': False}, 'relatedNodes': [], 'impact': 'moderate', 'message': 'Some page content is not contained by landmarks'}], 'all': [], 'none': [], 'impact': 'moderate', 'html': '<div style=""color:#5f6368;font-size:20px;font-weight:500;padding-left:16px"">Google Calendar - Easier Time Management, Appointments &amp; Scheduling</div>', 'target': ['div:nth-child(2)'], 'failureSummary': 'Fix any of the following:\n  Some page content is not contained by landmarks'}, {'any': [{'id': 'region', 'data': {'isIframe': False}, 'relatedNodes': [], 'impact': 'moderate', 'message': 'Some page content is not contained by landmarks'}], 'all': [], 'none': [], 'impact': 'moderate', 'html': '<div style=""color:rgba(0,0,0,0.871);font-size:15px;padding:16px"">Learn how Google Calendar helps you stay on top of your plans - at home, at work and everywhere in between.</div>', 'target': ['div:nth-child(3)'], 'failureSummary': 'Fix any of the following:\n  Some page content is not contained by landmarks'}]",,
0,https://myap.collegeboard.org/,2,color-contrast,7.0,serious,"['cat.color', 'wcag2aa', 'wcag143', 'TTv5', 'TT13.c', 'EN-301-549', 'EN-9.1.4.3', 'ACT']",Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=playwright,"[{'any': [{'id': 'color-contrast', 'data': {'fgColor': '#aaaaaa', 'bgColor': '#ffffff', 'contrastRatio': 2.32, 'fontSize': '18.0pt (24px)', 'fontWeight': 'bold', 'messageKey': None, 'expectedContrastRatio': '3:1'}, 'relatedNodes': [{'html': '<div class=""node_modules-@myap-ui-library-sass-___heroidentity-module__cb-wg-identity-card___Thld8"">', 'target': ['.node_modules-\\@myap-ui-library-sass-___heroidentity-module__cb-wg-identity-card___Thld8']}], 'impact': 'serious', 'message': 'Element has insufficient color contrast of 2.32 (foreground color: #aaaaaa, background color: #ffffff, font size: 18.0pt (24px), font weight: bold). Expected contrast ratio of 3:1'}], 'all': [], 'none': [], 'impact': 'serious', 'html': '<h2 class=""cb-roboto-slab-bold"">Sign In</h2>', 'target': ['.cb-roboto-slab-bold'], 'failureSummary': 'Fix any of the following:\n  Element has insufficient color contrast of 2.32 (foreground color: #aaaaaa, background color: #ffffff, font size: 18.0pt (24px), font weight: bold). Expected contrast ratio of 3:1'}, {'any': [{'id': 'color-contrast', 'data': {'fgColor': '#aaaaaa', 'bgColor': '#ffffff', 'contrastRatio': 2.32, 'fontSize': '12.0pt (16px)', 'fontWeight': 'normal', 'messageKey': None, 'expectedContrastRatio': '4.5:1'}, 'relatedNodes': [{'html': '<div class=""node_modules-@myap-ui-library-sass-___heroidentity-module__cb-wg-identity-card___Thld8"">', 'target': ['.node_modules-\\@myap-ui-library-sass-___heroidentity-module__cb-wg-identity-card___Thld8']}], 'impact': 'serious', 'message': 'Element has insufficient color contrast of 2.32 (foreground color: #aaaaaa, background color: #ffffff, font size: 12.0pt (16px), font weight: normal). Expected contrast ratio of 4.5:1'}], 'all': [], 'none': [], 'impact': 'serious', 'html': '<p class=""node_modules-@myap-ui-library-sass-___heroidentity-module__cb-wg-margin-top-8___C4om-"">Which type of account do you<br>want to <strong>sign in</strong> to?</p>', 'target': ['.node_modules-\\@myap-ui-library-sass-___heroidentity-module__cb-wg-margin-top-8___C4om-'], 'failureSummary': 'Fix any of the following:\n  Element has insufficient color contrast of 2.32 (foreground color: #aaaaaa, background color: #ffffff, font size: 12.0pt (16px), font weight: normal). Expected contrast ratio of 4.5:1'}, {'any': [{'id': 'color-contrast', 'data': {'fgColor': '#aaaaaa', 'bgColor': '#ffffff', 'contrastRatio': 2.32, 'fontSize': '12.0pt (16px)', 'fontWeight': 'bold', 'messageKey': None, 'expectedContrastRatio': '4.5:1'}, 'relatedNodes': [{'html': '<div class=""node_modules-@myap-ui-library-sass-___heroidentity-module__cb-wg-identity-card___Thld8"">', 'target': ['.node_modules-\\@myap-ui-library-sass-___heroidentity-module__cb-wg-identity-card___Thld8']}], 'impact': 'serious', 'message': 'Element has insufficient color contrast of 2.32 (foreground color: #aaaaaa, background color: #ffffff, font size: 12.0pt (16px), font weight: bold). Expected contrast ratio of 4.5:1'}], 'all': [], 'none': [], 'impact': 'serious', 'html': '<strong>sign in</strong>', 'target': ['strong'], 'failureSummary': 'Fix any of the following:\n  Element has insufficient color contrast of 2.32 (foreground color: #aaaaaa, background color: #ffffff, font size: 12.0pt (16px), font weight: bold). Expected contrast ratio of 4.5:1'}, {'any': [{'id': 'color-contrast', 'data': {'fgColor': '#919191', 'bgColor': '#ffed83', 'contrastRatio': 2.65, 'fontSize': '10.5pt (14px)', 'fontWeight': 'normal', 'messageKey': None, 'expectedContrastRatio': '4.5:1'}, 'relatedNodes': [{'html': '<a href=""https://account.collegeboard.org/login/login?appId=366&amp;idp=ECL&amp;DURL=https://myap.collegeboard.org/login"" class=""btn btn-sm btn-primary node_modules-@myap-ui-library-sass-___heroidentity-module__cb-wg-margin-top-16___HClvg"">Student</a>', 'target': ['.node_modules-\\@myap-ui-library-sass-___heroidentity-module__login-flow-button___J4qGx:nth-child(3) > .btn.btn-sm.btn-primary']}], 'impact': 'serious', 'message': 'Element has insufficient color contrast of 2.65 (foreground color: #919191, background color: #ffed83, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1'}], 'all': [], 'none': [], 'impact': 'serious', 'html': '<a href=""https://account.collegeboard.org/login/login?appId=366&amp;idp=ECL&amp;DURL=https://myap.collegeboard.org/login"" class=""btn btn-sm btn-primary node_modules-@myap-ui-library-sass-___heroidentity-module__cb-wg-margin-top-16___HClvg"">Student</a>', 'target': ['.node_modules-\\@myap-ui-library-sass-___heroidentity-module__login-flow-button___J4qGx:nth-child(3) > .btn.btn-sm.btn-primary'], 'failureSummary': 'Fix any of the following:\n  Element has insufficient color contrast of 2.65 (foreground color: #919191, background color: #ffed83, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1'}, {'any': [{'id': 'color-contrast', 'data': {'fgColor': '#919191', 'bgColor': '#ffed83', 'contrastRatio': 2.65, 'fontSize': '10.5pt (14px)', 'fontWeight': 'normal', 'messageKey': None, 'expectedContrastRatio': '4.5:1'}, 'relatedNodes': [{'html': '<a href=""https://account.collegeboard.org/login/login?appId=366&amp;idp=EPL&amp;skipEnroll=Y&amp;DURL=https://myap.collegeboard.org/login"" class=""btn btn-sm btn-primary node_modules-@myap-ui-library-sass-___heroidentity-module__cb-wg-margin-top-16___HClvg"">Educator</a>', 'target': ['.node_modules-\\@myap-ui-library-sass-___heroidentity-module__login-flow-button___J4qGx:nth-child(4) > .btn.btn-sm.btn-primary']}], 'impact': 'serious', 'message': 'Element has insufficient color contrast of 2.65 (foreground color: #919191, background color: #ffed83, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1'}], 'all': [], 'none': [], 'impact': 'serious', 'html': '<a href=""https://account.collegeboard.org/login/login?appId=366&amp;idp=EPL&amp;skipEnroll=Y&amp;DURL=https://myap.collegeboard.org/login"" class=""btn btn-sm btn-primary node_modules-@myap-ui-library-sass-___heroidentity-module__cb-wg-margin-top-16___HClvg"">Educator</a>', 'target': ['.node_modules-\\@myap-ui-library-sass-___heroidentity-module__login-flow-button___J4qGx:nth-child(4) > .btn.btn-sm.btn-primary'], 'failureSummary': 'Fix any of the following:\n  Element has insufficient color contrast of 2.65 (foreground color: #919191, background color: #ffed83, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1'}, {'any': [{'id': 'color-contrast', 'data': {'fgColor': '#aaaaaa', 'bgColor': '#ffffff', 'contrastRatio': 2.32, 'fontSize': '12.0pt (16px)', 'fontWeight': 'normal', 'messageKey': None, 'expectedContrastRatio': '4.5:1'}, 'relatedNodes': [{'html': '<div class=""node_modules-@myap-ui-library-sass-___heroidentity-module__cb-wg-identity-card___Thld8"">', 'target': ['.node_modules-\\@myap-ui-library-sass-___heroidentity-module__cb-wg-identity-card___Thld8']}], 'impact': 'serious', 'message': 'Element has insufficient color contrast of 2.32 (foreground color: #aaaaaa, background color: #ffffff, font size: 12.0pt (16px), font weight: normal). Expected contrast ratio of 4.5:1'}], 'all': [], 'none': [], 'impact': 'serious', 'html': '<p class=""cb-margin-top-8"">Don\'t have an account?</p>', 'target': ['.cb-margin-top-8'], 'failureSummary': 'Fix any of the following:\n  Element has insufficient color contrast of 2.32 (foreground color: #aaaaaa, background color: #ffffff, font size: 12.0pt (16px), font weight: normal). Expected contrast ratio of 4.5:1'}, {'any': [{'id': 'color-contrast', 'data': {'fgColor': '#919191', 'bgColor': '#ffffff', 'contrastRatio': 3.15, 'fontSize': '12.0pt (16px)', 'fontWeight': 'bold', 'messageKey': None, 'expectedContrastRatio': '4.5:1'}, 'relatedNodes': [{'html': '<div class=""node_modules-@myap-ui-library-sass-___heroidentity-module__cb-wg-identity-card___Thld8"">', 'target': ['.node_modules-\\@myap-ui-library-sass-___heroidentity-module__cb-wg-identity-card___Thld8']}], 'impact': 'serious', 'message': 'Element has insufficient color contrast of 3.15 (foreground color: #919191, background color: #ffffff, font size: 12.0pt (16px), font weight: bold). Expected contrast ratio of 4.5:1'}], 'all': [], 'none': [], 'impact': 'serious', 'html': '<a href=""https://account.collegeboard.org/login/signUp?appId=366&amp;DURL=https://myap.collegeboard.org/login"" class=""node_modules-@myap-ui-library-sass-___heroidentity-module__cb-wg-link-black___5AFJk"">Create Account</a>', 'target': ['.node_modules-\\@myap-ui-library-sass-___heroidentity-module__cb-wg-link-black___5AFJk'], 'failureSummary': 'Fix any of the following:\n  Element has insufficient color contrast of 3.15 (foreground color: #919191, background color: #ffffff, font size: 12.0pt (16px), font weight: bold). Expected contrast ratio of 4.5:1'}]",,
1,https://myap.collegeboard.org/,2,page-has-heading-one,7.0,moderate,"['cat.semantics', 'best-practice']","Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.8/page-has-heading-one?application=playwright,"[{'any': [], 'all': [{'id': 'page-has-heading-one', 'data': None, 'relatedNodes': [], 'impact': 'moderate', 'message': 'Page must have a level-one heading'}], 'none': [], 'impact': 'moderate', 'html': '<html lang=""en"" data-cb-input-m=""initial"" data-cb-intent-m=""initial"" style=""display: block;"">', 'target': ['html'], 'failureSummary': 'Fix all of the following:\n  Page must have a level-one heading'}]",,
0,https://slack.com/,11,aria-allowed-role,37.0,minor,"['cat.aria', 'best-practice']",Ensures role attribute has an appropriate value for the element,ARIA role should be appropriate for the element,https://dequeuniversity.com/rules/axe/4.8/aria-allowed-role?application=playwright,"[{'any': [{'id': 'aria-allowed-role', 'data': ['img'], 'relatedNodes': [], 'impact': 'minor', 'message': 'ARIA role img is not allowed for given element'}], 'all': [], 'none': [], 'impact': 'minor', 'html': '<video data-js-id=""hero"" loop="""" muted="""" playsinline="""" poster=""https://a.slack-edge.com/2951054/marketing/img/homepage/e2e-prospects/animations/static/hero-product-ui.jpg"" role=""img"" title=""Team discussing work in the Slack app"">', 'target': ['video[data-js-id=""hero""]'], 'failureSummary': 'Fix any of the following:\n  ARIA role img is not allowed for given element'}, {'any': [{'id': 'aria-allowed-role', 'data': ['img'], 'relatedNodes': [], 'impact': 'minor', 'message': 'ARIA role img is not allowed for given element'}], 'all': [], 'none': [], 'impact': 'minor', 'html': '<video data-js-id=""speed"" loop="""" muted="""" playsinline="""" role=""img"" title=""Using the Workday integration to quickly file an expense report in the Slack app"">', 'target': ['.u-hide-on-mobile > video[data-js-id=""speed""]'], 'failureSummary': 'Fix any of the following:\n  ARIA role img is not allowed for given element'}, {'any': [{'id': 'aria-allowed-role', 'data': ['img'], 'relatedNodes': [], 'impact': 'minor', 'message': 'ARIA role img is not allowed for given element'}], 'all': [], 'none': [], 'impact': 'minor', 'html': '<video data-js-id=""flexibility"" loop="""" muted="""" playsinline="""" role=""img"" title=""A user starting a huddle and recording a video clip the Slack app"">', 'target': ['.u-justify-self--end.u-hide-on-mobile > video[data-js-id=""flexibility""]'], 'failureSummary': 'Fix any of the following:\n  ARIA role img is not allowed for given element'}, {'any': [{'id': 'aria-allowed-role', 'data': ['img'], 'relatedNodes': [], 'impact': 'minor', 'message': 'ARIA role img is not allowed for given element'}], 'all': [], 'none': [], 'impact': 'minor', 'html': '<video data-js-id=""connectedness"" loop="""" muted="""" playsinline="""" role=""img"" title=""A connected team discussing work in multiple channels in the Slack app"">', 'target': ['.u-hide-on-mobile > video[data-js-id=""connectedness""]'], 'failureSummary': 'Fix any of the following:\n  ARIA role img is not allowed for given element'}]",,
1,https://slack.com/,11,aria-required-attr,37.0,critical,"['cat.aria', 'wcag2a', 'wcag412', 'EN-301-549', 'EN-9.4.1.2']",Ensures elements with ARIA roles have all required ARIA attributes,Required ARIA attributes must be provided,https://dequeuniversity.com/rules/axe/4.8/aria-required-attr?application=playwright,"[{'any': [{'id': 'aria-required-attr', 'data': ['aria-level'], 'relatedNodes': [], 'impact': 'critical', 'message': 'Required ARIA attribute not present: aria-level'}], 'all': [], 'none': [], 'impact': 'critical', 'html': '<span class=""v--main"" data-clog-click="""" data-clog-ui-component=""inc_footer_nav"" data-clog-ui-element=""btn_why_slack_main"" role=""heading"" tabindex=""0"">Why Slack?</span>', 'target': ['span[data-clog-ui-element=""btn_why_slack_main""]'], 'failureSummary': 'Fix any of the following:\n  Required ARIA attribute not present: aria-level'}, {'any': [{'id': 'aria-required-attr', 'data': ['aria-level'], 'relatedNodes': [], 'impact': 'critical', 'message': 'Required ARIA attribute not present: aria-level'}], 'all': [], 'none': [], 'impact': 'critical', 'html': '<span class=""v--main"" data-clog-click="""" data-clog-ui-component=""inc_footer_nav"" data-clog-ui-element=""btn_product_main"" role=""heading"" tabindex=""0"">Product</span>', 'target': ['span[data-clog-ui-element=""btn_product_main""]'], 'failureSummary': 'Fix any of the following:\n  Required ARIA attribute not present: aria-level'}, {'any': [{'id': 'aria-required-attr', 'data': ['aria-level'], 'relatedNodes': [], 'impact': 'critical', 'message': 'Required ARIA attribute not present: aria-level'}], 'all': [], 'none': [], 'impact': 'critical', 'html': '<span class=""v--main"" data-clog-click="""" data-clog-ui-component=""inc_footer_nav"" data-clog-ui-element=""btn_pricing_main"" role=""heading"" tabindex=""0"">Pricing</span>', 'target': ['span[data-clog-ui-element=""btn_pricing_main""]'], 'failureSummary': 'Fix any of the following:\n  Required ARIA attribute not present: aria-level'}, {'any': [{'id': 'aria-required-attr', 'data': ['aria-level'], 'relatedNodes': [], 'impact': 'critical', 'message': 'Required ARIA attribute not present: aria-level'}], 'all': [], 'none': [], 'impact': 'critical', 'html': '<span class=""v--main"" data-clog-click="""" data-clog-ui-component=""inc_footer_nav"" data-clog-ui-element=""btn_resources_main"" role=""heading"" tabindex=""0"">Resources</span>', 'target': ['span[data-clog-ui-element=""btn_resources_main""]'], 'failureSummary': 'Fix any of the following:\n  Required ARIA attribute not present: aria-level'}, {'any': [{'id': 'aria-required-attr', 'data': ['aria-level'], 'relatedNodes': [], 'impact': 'critical', 'message': 'Required ARIA attribute not present: aria-level'}], 'all': [], 'none': [], 'impact': 'critical', 'html': '<span class=""v--main"" data-clog-click="""" data-clog-ui-component=""inc_footer_nav"" data-clog-ui-element=""btn_company_main"" role=""heading"" tabindex=""0"">Company</span>', 'target': ['span[data-clog-ui-element=""btn_company_main""]'], 'failureSummary': 'Fix any of the following:\n  Required ARIA attribute not present: aria-level'}]",,
2,https://slack.com/,11,button-name,37.0,critical,"['cat.name-role-value', 'wcag2a', 'wcag412', 'section508', 'section508.22.a', 'TTv5', 'TT6.a', 'EN-301-549', 'EN-9.4.1.2', 'ACT']",Ensures buttons have discernible text,Buttons must have discernible text,https://dequeuniversity.com/rules/axe/4.8/button-name?application=playwright,"[{'any': [{'id': 'button-has-visible-text', 'data': None, 'relatedNodes': [], 'impact': 'critical', 'message': 'Element does not have inner text that is visible to screen readers'}, {'id': 'aria-label', 'data': None, 'relatedNodes': [], 'impact': 'critical', 'message': 'aria-label attribute does not exist or is empty'}, {'id': 'aria-labelledby', 'data': None, 'relatedNodes': [], 'impact': 'critical', 'message': 'aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty'}, {'id': 'non-empty-title', 'data': {'messageKey': 'noAttr'}, 'relatedNodes': [], 'impact': 'critical', 'message': 'Element has no title attribute'}, {'id': 'presentational-role', 'data': None, 'relatedNodes': [], 'impact': 'critical', 'message': 'Element\'s default semantics were not overridden with role=""none"" or role=""presentation""'}], 'all': [], 'none': [], 'impact': 'critical', 'html': '<button class=""c-announcement-banner__dismiss"" data-clog-click="""" data-clog-params=""click_target=banner_close,trigger=https://www.salesforce.com/dreamforce/register/"" data-clog-ui-component=""inc_announcement_banner"" data-clog-ui-element=""banner_cta_dismiss"">', 'target': ['.c-announcement-banner__dismiss'], 'failureSummary': 'Fix any of the following:\n  Element does not have inner text that is visible to screen readers\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute\n  Element\'s default semantics were not overridden with role=""none"" or role=""presentation""'}]",,
3,https://slack.com/,11,frame-title,37.0,serious,"['cat.text-alternatives', 'wcag2a', 'wcag412', 'section508', 'section508.22.i', 'TTv5', 'TT12.d', 'EN-301-549', 'EN-9.4.1.2']",Ensures <iframe> and <frame> elements have an accessible name,Frames must have an accessible name,https://dequeuniversity.com/rules/axe/4.8/frame-title?application=playwright,"[{'any': [{'id': 'non-empty-title', 'data': {'messageKey': 'noAttr'}, 'relatedNodes': [], 'impact': 'serious', 'message': 'Element has no title attribute'}, {'id': 'aria-label', 'data': None, 'relatedNodes': [], 'impact': 'serious', 'message': 'aria-label attribute does not exist or is empty'}, {'id': 'aria-labelledby', 'data': None, 'relatedNodes': [], 'impact': 'serious', 'message': 'aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty'}, {'id': 'presentational-role', 'data': None, 'relatedNodes': [], 'impact': 'serious', 'message': 'Element\'s default semantics were not overridden with role=""none"" or role=""presentation""'}], 'all': [], 'none': [], 'impact': 'serious', 'html': '<iframe height=""0"" id=""drift-iframe"" src=""https://d34u8crftukxnk.cloudfront.net/snippets/drift/index.html"" width=""0""></iframe>', 'target': ['#drift-iframe'], 'failureSummary': 'Fix any of the following:\n  Element has no title attribute\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element\'s default semantics were not overridden with role=""none"" or role=""presentation""'}]",,
4,https://slack.com/,11,landmark-banner-is-top-level,37.0,moderate,"['cat.semantics', 'best-practice']",Ensures the banner landmark is at top level,Banner landmark should not be contained in another landmark,https://dequeuniversity.com/rules/axe/4.8/landmark-banner-is-top-level?application=playwright,"[{'any': [{'id': 'landmark-is-top-level', 'data': {'role': 'banner'}, 'relatedNodes': [], 'impact': 'moderate', 'message': 'The banner landmark is contained in another landmark.'}], 'all': [], 'none': [], 'impact': 'moderate', 'html': '<div class=""c-announcement-banner banner--fixed-top"" data-persist-on-cta-click="""" role=""banner"">', 'target': ['.c-announcement-banner'], 'failureSummary': 'Fix any of the following:\n  The banner landmark is contained in another landmark.'}]",,
